id,npi,specialty,region,created_at
000a80b9-376a-459e-b13d-792f4bfe5c84,8039997731,",General Surgery,",Midwest,2025-03-31 06:47:40.388019+00
000ff1da-0d6e-4847-b36a-8e84054cbd32,7648591997,",General Surgery,",Midwest,2025-03-31 06:47:40.386325+00
00119dab-b30b-4858-bcbc-7f34df50eae8,8215825195,",General Surgery,",Midwest,2025-03-31 06:47:40.387774+00
001b2711-810c-40ef-9918-9117637d168b,4092010765,",Psychiatry,",South,2025-03-31 06:47:40.384002+00
001efeb9-b5fa-4af4-b77f-d2df764b8d75,6827833009,",Cardiology,",South,2025-03-31 06:47:40.388313+00
0030e6bb-3648-4195-b4c9-2c24fe5a9ce1,8501277126,",General Surgery,",Northwest,2025-03-31 06:47:40.386807+00
0031d6e1-fdb4-4026-ac3a-4729f5b8d8e8,8571793205,",Cardiology,",South,2025-03-31 06:47:40.388905+00
003477c8-23bc-4a7a-a135-b61d22122f4a,6525872090,",Neurology,",Northwest,2025-03-31 06:47:40.398322+00
003d77c5-6f78-41cb-8af9-4161c0e0fce8,2713884502,",Nephrology,",West,2025-03-31 06:47:40.402473+00
004092f9-1d6b-4f70-a9fe-634b90e0a438,1673832361,",Radiology,",Northeast,2025-03-31 06:47:40.395829+00
0041652e-404b-4c5a-9c26-6d184cb50adf,9845676228,",Obstetrics & Gynecology,",South,2025-03-31 06:47:40.383798+00
004ab89b-d445-457a-b361-4ab9d5314244,9981190603,",Internal Medicine,",Northeast,2025-03-31 06:47:40.380776+00
0058fad6-fca3-46b6-904d-bbfbc018e2f0,7477490182,",Internal Medicine,",West,2025-03-31 06:47:40.376915+00
005ca3a3-3452-4fec-a61c-77ada86ece0c,3369567188,",Dermatology,",West,2025-03-31 06:47:40.393226+00
0065afa3-a013-484a-8587-eff927795038,2288844584,",Dermatology,",Midwest,2025-03-31 06:47:40.39339+00
0072790b-06c2-43b0-9713-6276e621984c,4375183488,",Anesthesiology,",Midwest,2025-03-31 06:47:40.396717+00
007292a2-0b12-4b14-ab87-3e7da5e5aafc,6531446500,",General Surgery,",West,2025-03-31 06:47:40.387703+00
00794023-fec3-46cb-8b0b-9d8a995a6399,4738080919,",Obstetrics & Gynecology,",West,2025-03-31 06:47:40.382617+00
007c6e38-113a-4455-95c2-8895529e103b,2394798223,",Cardiology,",Midwest,2025-03-31 06:47:40.390533+00
007e8b57-3dca-4f7b-a583-8908e7c3bded,2833915127,",Cardiology,",Midwest,2025-03-31 06:47:40.40405+00
00806b64-819a-43dc-819f-f68d45890b24,4662533573,",Radiology,",Northwest,2025-03-31 06:47:40.395901+00
0081711f-b569-47f9-9d4b-5fbc14abc17d,5609696634,",Cardiology,",Northwest,2025-03-31 06:47:40.388291+00
008383e6-908f-4a54-85bb-fcf42cc731c8,1969676287,",Pulmonology,",South,2025-03-31 06:47:40.40439+00
008406b8-dc97-447e-95bc-3bc9a7e0f0a5,4966074429,",Psychiatry,",South,2025-03-31 06:47:40.385228+00
0091265b-2126-4f69-aef1-298a91cdbf90,5006584229,",Cardiology,",Northeast,2025-03-31 06:47:40.390143+00
0098c925-7cc4-4453-bae0-3a66998e1e75,4757068737,",Pulmonology,",West,2025-03-31 06:47:40.40132+00
00a2594b-7e44-4d83-9e64-4fbee2c90f63,6173310008,",Internal Medicine,",Northwest,2025-03-31 06:47:40.381257+00
00ab58d9-cd7e-4b84-8c1a-659576fbe405,1638178448,",Obstetrics & Gynecology,",Northeast,2025-03-31 06:47:40.38178+00
00bec43e-dd63-47ed-9d77-0b5bda4fcea5,7353134662,",Radiology,",South,2025-03-31 06:47:40.3958+00
00c2e8e0-088b-42d4-b07a-b2676e146439,3781375492,",Internal Medicine,",Midwest,2025-03-31 06:47:40.377519+00
00c741c0-900a-4357-8ce7-42662e4f2f85,2041696689,",Internal Medicine,",Midwest,2025-03-31 06:47:40.380109+00
00ceab85-6ae7-48c6-be97-1a2839a9cc6a,8890353519,",Obstetrics & Gynecology,",South,2025-03-31 06:47:40.383705+00
00ceb5fb-1d78-42a0-be78-0b0d74cc6227,1228502711,",Radiology,",South,2025-03-31 06:47:40.40429+00
00cfd454-da28-49fb-b038-1cca01a0e473,8093957125,",Urology,",South,2025-03-31 06:47:40.40103+00
00d78479-e13a-414a-b0e2-da5b22beb6d1,6371057220,",Obstetrics & Gynecology,",South,2025-03-31 06:47:40.383223+00
00dca868-6760-4690-b5bb-db6f5e7578fd,6383391283,",Neurology,",South,2025-03-31 06:47:40.398477+00
00dd2ea0-3dd4-4dda-bd66-f2e9f5a3a43c,3448957357,",Cardiology,",West,2025-03-31 06:47:40.388794+00
00e7c80f-7539-4be5-9c09-2c6d23c3427b,4403140388,",Cardiology,",Northwest,2025-03-31 06:47:40.388658+00
00ed10ac-10b1-426e-95f5-ffc7371923d1,1804425373,",Orthopedic Surgery,",South,2025-03-31 06:47:40.392526+00
00f1fb65-bb08-4203-8650-50ba563b7675,4848110252,",Radiology,",Midwest,2025-03-31 06:47:40.394932+00
0105901b-eadc-48ba-aebd-cada79896a5c,7618955044,",Anesthesiology,",Northwest,2025-03-31 06:47:40.397145+00
010d0e88-d065-400c-9dba-e3d557b48964,8750885353,",Internal Medicine,",Northwest,2025-03-31 06:47:40.376034+00
0111e7cd-4d02-4de0-8ab7-5de66566a306,8091021507,",Dermatology,",South,2025-03-31 06:47:40.392809+00
011a330c-278c-422e-a8bb-3d82700039b5,8271113960,",Psychiatry,",South,2025-03-31 06:47:40.384354+00
011c0ca3-3250-4fed-85ff-a294b2b3ba93,4272364434,",Anesthesiology,",South,2025-03-31 06:47:40.397385+00
0121643f-be85-4366-825f-a316bb1001e2,6210943992,",Internal Medicine,",Midwest,2025-03-31 06:47:40.380805+00
01282495-7e48-418f-be0c-ba65c6d3625c,7959370834,",Gastroenterology,",Midwest,2025-03-31 06:47:40.40019+00
01389928-0bda-41b1-8451-0cf3f2f3baf7,9801787009,",Internal Medicine,",South,2025-03-31 06:47:40.376947+00
013dcd9a-399a-45e8-880c-3050a05d38df,5296952162,",Radiology,",Midwest,2025-03-31 06:47:40.395611+00
